fps_id,fps_name,district,district_code,state,year,month,month_name,scraped_at_utc,total_etransactions,aadhaar_authenticated,other_mode_authenticated,non_authenticated,aadhaar_authenticated_pct,phh_regular_txn,phh_intra_state_txn,phh_inter_state_txn,phh_total_txn,aay_regular_txn,aay_intra_state_txn,aay_inter_state_txn,aay_total_txn,phh_regular_ration_card,phh_intra_state_ration_card,phh_inter_state_ration_card,phh_total_ration_card,aay_regular_ration_card,aay_intra_state_ration_card,aay_inter_state_ration_card,aay_total_ration_card,wheat_regular_kg,wheat_intra_state_kg,wheat_inter_state_kg,wheat_total_kg,rice_regular_kg,rice_intra_state_kg,rice_inter_state_kg,rice_total_kg,fortified_rice_regular_kg,fortified_rice_intra_state_kg,fortified_rice_inter_state_kg,fortified_rice_total_kg,coarse_grains_regular_kg,coarse_grains_intra_state_kg,coarse_grains_inter_state_kg,coarse_grains_total_kg,barley_regular_kg,barley_intra_state_kg,barley_inter_state_kg,barley_total_kg,bajra_regular_kg,bajra_intra_state_kg,bajra_inter_state_kg,bajra_total_kg,maize_regular_kg,maize_intra_state_kg,maize_inter_state_kg,maize_total_kg,jowar_regular_kg,jowar_intra_state_kg,jowar_inter_state_kg,jowar_total_kg,ragi_regular_kg,ragi_intra_state_kg,ragi_inter_state_kg,ragi_total_kg,kodo_regular_kg,kodo_intra_state_kg,kodo_inter_state_kg,kodo_total_kg,all_commodities_regular_kg,all_commodities_intra_state_kg,all_commodities_inter_state_kg,all_commodities_total_kg,quality_flags
158500100025,SHRIKRISHNA POKHRE-116 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:19+00:00,256,256,0,0,100.0,231,0,12,243,11,0,2,13,231,0,12,243,11,0,2,13,0,0,0,0.0,4765,0,285,5050.0,4.765,0,0.285,5.05,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4765,0,285,5050.0,
158500100026,DAYANAND S GADEKAR-110 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:19+00:00,82,82,0,0,100.0,80,0,1,81,1,0,0,1,80,0,1,81,1,0,0,1,0,0,0,0.0,1305,0,5,1310.0,1.305,0,0.005,1.31,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1305,0,5,1310.0,
158500100027,HIRABAI TRIVIKRAM JOSHI-53 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:20+00:00,312,312,0,0,100.0,213,77,0,290,19,3,0,22,213,77,0,290,19,3,0,22,0,0,0,0.0,4525,1400,0,5925.0,4.525,1.4,0,5.925,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4525,1400,0,5925.0,
158500100028,PURSHOTTAM A BANDODKAR-59 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:20+00:00,151,151,0,0,100.0,146,0,0,146,5,0,0,5,146,0,0,146,5,0,0,5,0,0,0,0.0,2575,0,0,2575.0,2.575,0,0,2.575,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2575,0,0,2575.0,
158500100029,NARLISO LOBO-58 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:21+00:00,152,152,0,0,100.0,132,2,0,134,18,0,0,18,132,2,0,134,18,0,0,18,0,0,0,0.0,3090,30,0,3120.0,3.09,0.03,0,3.12,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3090,30,0,3120.0,
158500100030,SUNITA V UMBRAXAR-100 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:21+00:00,334,334,0,0,100.0,326,0,0,326,8,0,0,8,326,0,0,326,8,0,0,8,0,0,0,0.0,6575,0,0,6575.0,6.575,0,0,6.575,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6575,0,0,6575.0,
158500100031,YOGESHWAR GANPAT TAMONKAR-49 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:22+00:00,301,301,0,0,100.0,261,12,14,287,13,0,1,14,261,12,14,287,13,0,1,14,0,0,0,0.0,4875,205,340,5420.0,4.875,0.205,0.34,5.42,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4875,205,340,5420.0,
158500100032,CHANDRASHEKHAR Y MORE-102 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:22+00:00,128,128,0,0,100.0,61,2,10,73,51,1,3,55,60,2,10,72,51,1,3,55,0,0,0,0.0,3045,65,285,3395.0,3.045,0.065,0.285,3.395,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3045,65,285,3395.0,
158500100033,RAMESH G TAMANKAR-64 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:22+00:00,333,333,0,0,100.0,299,10,0,309,24,0,0,24,298,10,0,308,24,0,0,24,0,0,0,0.0,6800,180,0,6980.0,6.8,0.18,0,6.98,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6800,180,0,6980.0,
158500100034,SUNITA KASKAR-95 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:23+00:00,21,21,0,0,100.0,17,2,0,19,1,1,0,2,17,2,0,19,1,1,0,2,0,0,0,0.0,330,65,0,395.0,0.33,0.065,0,0.395,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,330,65,0,395.0,
158500100035,GUIRIM SANGOLDA M.P. CO-OP SERVICE SOCIETY LTD-15 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:23+00:00,250,250,0,0,100.0,230,2,0,232,17,0,1,18,230,2,0,232,17,0,1,18,0,0,0,0.0,5160,45,35,5240.0,5.16,0.045,0.035,5.24,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,5160,45,35,5240.0,
158500100036,GUIRIM SANGOLDA M.P.CO-OP SERVICE SOCIETY LTD-13 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:24+00:00,140,140,0,0,100.0,118,4,10,132,8,0,0,8,118,4,10,132,8,0,0,8,0,0,0,0.0,2495,60,220,2775.0,2.495,0.06,0.22,2.775,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2495,60,220,2775.0,
158500100037,GUIRIM SANGOLDA M.P. CO-OP SERVICE SOCIETY LTD-14 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:24+00:00,185,185,0,0,100.0,149,1,2,152,32,0,1,33,149,1,2,152,32,0,1,33,0,0,0,0.0,3885,20,75,3980.0,3.885,0.02,0.075,3.98,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3885,20,75,3980.0,
158500100038,POROB FAIR PRICE SHOP-40 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:24+00:00,119,119,0,0,100.0,51,68,0,119,0,0,0,0,51,68,0,119,0,0,0,0,0,0,0,0.0,980,1230,0,2210.0,0.98,1.23,0,2.21,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,980,1230,0,2210.0,
158500100039,SUMATI C KALANGUTKAR-79 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:25+00:00,130,130,0,0,100.0,51,3,0,54,71,5,0,76,51,3,0,54,71,5,0,76,0,0,0,0.0,3410,240,0,3650.0,3.41,0.24,0,3.65,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3410,240,0,3650.0,
158500100040,SHRI DEVANAND V SHIRODKAR-108 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:25+00:00,147,147,0,0,100.0,89,58,0,147,0,0,0,0,89,58,0,147,0,0,0,0,0,0,0,0.0,1640,985,0,2625.0,1.64,0.985,0,2.625,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1640,985,0,2625.0,
158500100041,SHANKER .V. PRABHU KHORJUNVKAR-88 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:26+00:00,113,113,0,0,100.0,101,6,0,107,6,0,0,6,101,6,0,107,6,0,0,6,0,0,0,0.0,2000,140,0,2140.0,2,0.14,0,2.14,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2000,140,0,2140.0,
